Layer                  ,ObjectType    ,Geometry  ,Color ,Orientation ,VAlign   ,HAlign   ,Text       ,Symbol ,Linetype   ,Lineweight ,Textsize ,Font     ,Mapping
ELE-TEXT               ,LKObjekt_Text ,TextPos   ,10    ,TextOri     ,TextVAli ,TextHAli ,Textinhalt ,       ,           ,           ,1.25     ,Cadastra ,Objektart=Elektrizitaet
GAS-LINIEFWK-GENAU     ,LKLinie       ,Linie     ,22    ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=Gas.Fernwirkkabel Labebestimmung=genau
GAS-LINIEFWK-UNGENAU   ,LKLinie       ,Linie     ,22    ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=Gas.Fernwirkkabel Labebestimmung=ungenau|unbekannt
GAS-LINIE-GENAU        ,LKLinie       ,Linie     ,22    ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=Gas.Leitung|Gas.Schutzrohr Labebestimmung=genau
GAS-LINIE-UNGENAU      ,LKLinie       ,Linie     ,22    ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=Gas.Leitung|Gas.Schutzrohr Labebestimmung=ungenau|unbekannt
GAS-FLAECHE            ,LKFlaeche     ,Flaeche   ,22    ,            ,         ,         ,           ,       ,           ,           ,         ,         ,Objektart=Gas
GAS-PUNKT              ,LKPunkt       ,SymbolPos ,22    ,SymbolOri   ,         ,         ,           ,BGA957 ,           ,           ,         ,         ,Objektart=Gas
GAS-TEXT               ,LKObjekt_Text ,TextPos   ,22    ,TextOri     ,TextVAli ,TextHAli ,Textinhalt ,       ,           ,           ,1.25     ,Cadastra ,Objektart=Gas
WAS-LINIEFWK-GENAU     ,LKLinie       ,Linie     ,170   ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=Wasser.Fernwirkkabel Lagebestimmung=genau
WAS-LINIEFWK-UNGENAU   ,LKLinie       ,Linie     ,170   ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=Wasser.Fernwirkkabel Lagebestimmung=ungenau|unbekannt
WAS-LINIE-GENAU        ,LKLinie       ,Linie     ,170   ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=Wasser.Leitung|Wasser.Schutzrohr Lagebestimmung=genau
WAS-LINIE-UNGENAU      ,LKLinie       ,Linie     ,170   ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=Wasser.Leitung|Wasser.Schutzrohr Lagebestimmung=ungenau|unbekannt
WAS-FLAECHE            ,LKFlaeche     ,Flaeche   ,170   ,            ,         ,         ,           ,       ,           ,           ,         ,         ,Objektart=Wasser
WAS-PUNKT              ,LKPunkt       ,SymbolPos ,170   ,SymbolOri   ,         ,         ,           ,BWA15  ,           ,           ,         ,         ,Objektart=Wasser
WAS-TEXT               ,LKObjekt_Text ,TextPos   ,170   ,TextOri     ,TextVAli ,TextHAli ,Textinhalt ,       ,           ,           ,1.25     ,Cadastra ,Objektart=Wasser
FER-LINIEFWK-GENAU     ,LKLinie       ,Linie     ,30    ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=Fernwaerme.Fernwirkkabel Lagebestimmung=genau
FER-LINIEFWK-UNGENAU   ,LKLinie       ,Linie     ,30    ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=Fernwaerme.Fernwirkkabel Lagebestimmung=ungenau|unbekannt
FER-LINIE-GENAU        ,LKLinie       ,Linie     ,30    ,            ,         ,         ,           ,       ,Continuous ,0.25       ,         ,         ,Objektart=Fernwaerme.Trasse Lagebestimmung=genau
FER-LINIE-UNGENAU      ,LKLinie       ,Linie     ,30    ,            ,         ,         ,           ,       ,Dashed     ,0.25       ,         ,         ,Objektart=Fernwaerme.Trasse Lagebestimmung=ungenau|unbekannt
FER-FLAECHE            ,LKFlaeche     ,Flaeche   ,30    ,            ,         ,         ,           ,       ,           ,           ,         ,         ,Objektart=Fernwaerme
